Long,Lat,OBJECTID,Ward,WardCode,State,StateCode,Lga,LgaCode,Shape_Leng,Shape_Area,Location_I
4.6519,10.5450,5115,MAKAWA ULEIRA,7,KEBBI,KB,NGASKI,15,0.2590782018,0.003491391,NGASKIMAKAWA ULEIRA
6.5469,9.6103,5118,MAKERA,3,NIGER,NG,CHANCHAGA,6,0.0364810168,0.00006972557,CHANCHAGAMAKERA
4.0980,12.5114,5119,MAKERA,6,KEBBI,KB,BIRNIN KEBBI,6,0.0966312643,0.000468119,BIRNIN KEBBIMAKERA
5.4809,11.0174,5123,MAKUKU,7,KEBBI,KB,SAKABA,16,0.3330922354,0.0048623491,SAKABAMAKUKU
6.2310,13.5981,5128,MAKUWANA,10,SOKOTO,SO,S/BIRNI,13,0.2961714032,0.0051989273,S/BIRNIMAKUWANA
4.4927,10.1170,5132,MALALE,5,NIGER,NG,BORGU,4,0.2364512283,0.0018660733,BORGUMALALE
4.7230,12.4103,5137,MALISA,9,KEBBI,KB,GWANDU,10,0.1849618836,0.0023476268,GWANDUMALISA
5.9233,8.9194,5146,MAMBE,12,NIGER,NG,LAVUN,13,0.5580794882,0.0199602532,LAVUNMAMBE
5.4915,13.4839,5147,MAMMANDE,9,SOKOTO,SO,GWADABAWA,7,0.3129814232,0.0043900634,GWADABAWAMAMMANDE
4.9110,12.4976,5156,MANDERA,10,SOKOTO,SO,SHAGARI,14,0.164762018,0.0016639031,SHAGARIMANDERA
5.1895,11.3028,5157,MANGA/USHE,4,KEBBI,KB,ZURU,21,0.4981472433,0.0089075261,ZURUMANGA/USHE
6.4501,9.9447,5168,MANTA,12,NIGER,NG,SHIRORO,22,0.5659607379,0.0136291102,SHIROROMANTA
6.2520,12.5833,5177,MARADUN NORTH,8,ZAMFARA,ZF,MARADUN,9,0.3977091688,0.005418148,MARADUNMARADUN NORTH
6.2343,12.5581,5178,MARADUN SOUTH,9,ZAMFARA,ZF,MARADUN,9,0.3291690648,0.0041646409,MARADUNMARADUN SOUTH
5.4239,13.2902,5179,MARAFA,1,SOKOTO,SO,WURNO,22,0.0334071792,0.00007172993,WURNOMARAFA
4.7791,11.5460,5180,MARAFA,9,KEBBI,KB,FAKAI,9,0.562629856,0.0134568421,FAKAIMARAFA
4.7919,13.0119,5181,MARAFA EAST,8,SOKOTO,SO,SILAME,15,0.1651303748,0.0013479881,SILAMEMARAFA EAST
4.7275,13.0124,5182,MARAFA WEST,9,SOKOTO,SO,SILAME,15,0.1255039967,0.0006020828,SILAMEMARAFA WEST
4.6112,13.6985,5184,MARAKEN BORI,9,SOKOTO,SO,GUDU,6,0.5876993342,0.0038637055,GUDUMARAKEN BORI
4.8039,12.1692,5190,MARGAI - A,3,SOKOTO,SO,KEBBE,11,0.2148448659,0.0015761899,KEBBEMARGAI - A
4.7363,12.1740,5191,MARGAI - B,4,SOKOTO,SO,KEBBE,11,0.1330735257,0.0009731783,KEBBEMARGAI - B
6.3703,12.3162,5202,MARU,8,ZAMFARA,ZF,MARU,10,0.4056042447,0.0107002323,MARUMARU
4.7622,12.5079,5203,MARUDA,8,KEBBI,KB,GWANDU,10,0.2654914968,0.0044852251,GWANDUMARUDA
